# Y-M-D_T_H:M:S       ObsNum  Receiver   ObsGoal      ObgPgm      SourceName                ProjectId                   RestFreq      VLSR    TINT    RA          DEC        AZ     EL   A1 E1
2023-02-16T06:43:39   105752  RSR        Pointing     Map(Az)     1041+061                  2023-S1-US-8                        0.0     0      68.2  160.321510   6.171368  138.9  73.2  0 0
2023-02-16T06:49:41   105754  RSR        Calibration  Cal         HI5                       2023-S1-US-8                        0.0     0      12.0  150.335550   2.304910  181.1  73.2  0 0
2023-02-16T06:50:39   105755  RSR        Science      Bs          HI5                       2023-S1-US-8                        0.0     0     301.2  150.335550   2.304910  182.5  73.2  0 0
2023-02-16T06:56:51   105756  RSR        Science      Bs          HI5                       2023-S1-US-8                        0.0     0     301.4  150.335550   2.304910  187.8  73.1  0 0
2023-02-16T07:03:01   105757  RSR        Science      Bs          HI5                       2023-S1-US-8                        0.0     0     300.1  150.335550   2.304910  193.0  72.8  0 0
2023-02-16T07:09:32   105758  RSR        Calibration  Cal         HI10                      2023-S1-US-8                        0.0     0      12.0  150.403910   2.508880  198.3  72.6  0 0
2023-02-16T07:10:28   105759  RSR        Science      Bs          HI10                      2023-S1-US-8                        0.0     0     300.4  150.403910   2.508880  199.0  72.5  0 0
2023-02-16T07:16:35   105760  RSR        Science      Bs          HI10                      2023-S1-US-8                        0.0     0     302.6  150.403910   2.508880  203.7  72.0  0 0
2023-02-16T07:22:51   105761  RSR        Science      Bs          HI10                      2023-S1-US-8                        0.0     0     300.0  150.403910   2.508880  208.3  71.3  0 0
2023-02-16T07:29:23   105762  RSR        Calibration  Cal         C4                        2023-S1-US-8                        0.0     0      12.0  150.355930   2.529260  212.8  70.6  0 0
2023-02-16T07:30:19   105763  RSR        Science      Bs          C4                        2023-S1-US-8                        0.0     0     300.0  150.355930   2.529260  213.4  70.4  0 0
2023-02-16T07:36:33   105764  RSR        Science      Bs          C4                        2023-S1-US-8                        0.0     0     302.1  150.355930   2.529260  217.3  69.6  0 0
2023-02-16T07:42:51   105765  RSR        Science      Bs          C4                        2023-S1-US-8                        0.0     0     304.0  150.355930   2.529260  220.8  68.6  0 0
2023-02-16T07:49:51   105766  RSR        Pointing     Map(Az)     1041+061                  2023-S1-US-8                        0.0     0      68.2  160.321510   6.171368  203.5  76.0  0 0
2023-03-03T08:43:55   106361  RSR        Pointing     Map(Az)     1041+061                  2023-S1-US-8                        0.0     0      68.2  160.321510   6.171368  253.1  54.6  0 0
2023-03-03T08:46:18   106362  RSR        Pointing     Map(Az)     1041+061                  2023-S1-US-8                        0.0     0      68.3  160.321510   6.171368  253.5  54.0  0 0
2023-03-03T08:49:07   106363  RSR        Calibration  Cal         HI6                       2023-S1-US-8                        0.0     0      12.0  150.346670   2.404120  254.9  42.8  0 0
2023-03-03T08:50:09   106364  RSR        Science      Bs          HI6                       2023-S1-US-8                        0.0     0     300.0  150.346670   2.404120  255.0  42.5  0 0
2023-03-03T08:56:25   106365  RSR        Science      Bs          HI6                       2023-S1-US-8                        0.0     0     300.2  150.346670   2.404120  255.9  41.1  0 0
2023-03-03T09:02:40   106366  RSR        Science      Bs          HI6                       2023-S1-US-8                        0.0     0     300.0  150.346670   2.404120  256.7  39.6  0 0
2023-03-03T09:08:52   106367  RSR        Science      Bs          HI6                       2023-S1-US-8                        0.0     0     307.0  150.346670   2.404120  257.5  38.2  0 0
2023-03-03T09:15:07   106368  RSR        Science      Bs          HI6                       2023-S1-US-8                        0.0     0       0.0  150.346670   2.404120  258.2  36.8  0 0
2023-03-09T05:17:54   106649  RSR        Pointing     Map(Az)     1041+061                  2023-S1-US-8                        0.0     0      68.7  160.321510   6.171368  136.8  72.7  0 0
2023-03-09T05:23:27   106650  RSR        Calibration  Cal         HI1                       2023-S1-US-8                        0.0     0      12.0  150.221090   2.182660  178.4  73.1  0 0
2023-03-09T05:33:09   106651  RSR        Science      Bs          HI1                       2023-S1-US-8                        0.0     0     300.0  150.221090   2.182660  187.2  73.0  0 0
